%Name                           Path                                                                                                                                                                                                        Outputname      Number of subjobs   Cross-Section (pb)


HNL-e-m10                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-10_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m10       Calc                8.313e-02
HNL-e-m20                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-20_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m20       Calc                7.829e-02
HNL-e-m30                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-30_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m30       Calc                7.990e-02
HNL-e-m40                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-40_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m40       Calc                7.591e-02
HNL-e-m50                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-50_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m50       Calc                5.973e-02
HNL-e-m60                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-60_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m60       Calc                3.540e-02
HNL-e-m70                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-70_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m70       Calc                1.125e-02
HNL-e-m75                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-75_V-0p01_e_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                          HNL-e-m75       Calc                2.783e-03
HNL-e-m85                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-85_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                         HNL-e-m85       Calc                6.874e-04
HNL-e-m100                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-100_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-e-m100      Calc                4.258e-04
HNL-e-m125                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-125_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-e-m125      Calc                1.550e-04
HNL-e-m150                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-150_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-e-m150      Calc                7.459e-05
HNL-e-m200                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-200_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-e-m200      Calc                2.459e-05
HNL-e-m250                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-250_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-e-m250      Calc                1.079e-05
