data    data_combined_Fall17.root
DY      DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_Fall17.root       18610
DY      DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_Fall17.root           6077.22
WJets   WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8_Fall17.root                61526.7
TT      TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_Fall17.root               364.35
TT      TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_Fall17.root                      87.31

QCD     QCD_Pt-30to50_EMEnriched_TuneCP5_13TeV-pythia8_Fall17.root              9928000
QCD     QCD_Pt-50to80_EMEnriched_TuneCP5_13TeV-pythia8_Fall17.root              2890800
QCD     QCD_Pt-80to120_EMEnriched_TuneCP5_13TeV-pythia8_Fall17.root             350000
QCD     QCD_Pt-120to170_EMEnriched_TuneCP5_13TeV-pythia8_Fall17.root            62964
QCD     QCD_Pt-170to300_EMEnriched_TuneCP5_13TeV-pythia8_Fall17.root            18810
QCD     QCD_Pt-300toInf_EMEnriched_TuneCP5_13TeV-pythia8_Fall17.root            1350
QCD     QCD_Pt_20to30_bcToE_TuneCP5_13TeV_pythia8_Fall17.root                   329000
QCD     QCD_Pt_30to80_bcToE_TuneCP5_13TeV_pythia8_Fall17.root                   405623
QCD     QCD_Pt_80to170_bcToE_TuneCP5_13TeV_pythia8_Fall17.root                  38104
QCD     QCD_Pt_170to250_bcToE_TuneCP5_13TeV_pythia8_Fall17.root                 2636
QCD     QCD_Pt_250toInf_bcToE_TuneCP5_13TeV_pythia8_Fall17.root                 711.9

QCD     QCD_Pt-15To20_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root        3819570
QCD     QCD_Pt-20To30_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root        2960198
QCD     QCD_Pt-30To50_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root        1652471
QCD     QCD_Pt-50To80_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root        437504
QCD     QCD_Pt-80To120_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root       106034
QCD     QCD_Pt-120To170_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root      25191
QCD     QCD_Pt-170To300_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root      8654
QCD     QCD_Pt-300To470_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root      797.35
QCD     QCD_Pt-470To600_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root      79.026
QCD     QCD_Pt-600To800_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root      25.095
QCD     QCD_Pt-800To1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root     4.7074
QCD     QCD_Pt-1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Fall17.root          1.6213
