obs		data_combined_ewkino.root

tZq	        tZq_ll_4f_13TeV-amcatnlo-pythia8.root								0.0758

DY		DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8.root				18610
DY		DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8.root					5765.4
TT		TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root   					87.31483776
TT		TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root				182.17540224
TT		TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root				182.17540224

WJets	        WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root						61526.7

WZ              WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8.root							4.42965

multiboson      WWTo2L2Nu_13TeV-powheg.root                                                                     12.178 
multiboson	WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root							0.2086
multiboson	WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root							0.1651
multiboson	WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root							0.05565
multiboson	ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root							0.01398						
multiboson      WZG_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root                                                    0.04123
multiboson      WWG_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root                                                    0.2147
multiboson      WGGJets_TuneCUETP8M1_13TeV_madgraphMLM_pythia8.root                                             1.711

TTZ		TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root					0.2728
TTZ		TTZToLL_M-1to10_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root					0.0283

TTX		TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8.root				0.2043
TTX		TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8.root				0.40620
TTX		ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1.root				3.68064
TTX		ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1.root	80.95
TTX		ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1.root		136.02
TTX		ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root				35.85
TTX		ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root				35.85
TTX             TTGG_0Jets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8.root                                     0.017
TTX             ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8.root                              0.215 
TTX             TTTT_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root                                                   0.009103

Xgamma          ZGTo2LG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8.root                                            117.864
Xgamma          WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8.rooti                                          489
Xgamma          TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8.root                                    3.697
Xgamma		TGJets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8.root						2.967

ZZH	        ZZTo4L_13TeV_powheg_pythia8.root								1.212 
ZZH             GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8.root                                            0.00319*2.1
ZZH             GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8.root                                           0.00319*2.1
ZZH             GluGluToContinToZZTo2mu2tau_13TeV_MCFM701_pythia8.root                                          0.00319*2.1
ZZH             GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8.root                                               0.00159*2.1
ZZH             GluGluToContinToZZTo4mu_13TeV_MCFM701_pythia8.root                                              0.00159*2.1
ZZH             GluGluToContinToZZTo4tau_13TeV_MCFM701_pythia8.root                                             0.00159*2.1

ZZH             GluGluHToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8.root                                        0.01212 
ZZH             VBF_HToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8.root                                          0.001034 
ZZH             WplusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUgenV6_pythia8.root                             0.0002339 
ZZH             WminusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUgenV6_pythia8.root                            0.0001471 
ZZH             ZH_HToZZ_4LFilter_M125_13TeV_powheg2-minlo-HZJ_JHUgenV6_pythia8.root                            0.000652 
